Street,Area,Price,sqm,Rooms,PricePerSqm,lat,lng
Rykestraße 50,PrenzlauerBerg(PrenzlauerBerg),1281.0,46.57,2,27.50697874167919,52.5357177,13.4189852
Rykestraße 50,PrenzlauerBerg(PrenzlauerBerg),1357.0,49.31,2,27.519772865544514,52.5357177,13.4189852
Rykestraße 50,PrenzlauerBerg(PrenzlauerBerg),1134.0,41.23,2,27.504244482173178,52.5357177,13.4189852
Teltower Damm 199,Zehlendorf(Zehlendorf),486.29,37.58,1,12.940127727514637,52.4158827,13.2659139
Schwartzstraße 7,Reinickendorf(Reinickendorf),599.0,58.0,2,10.327586206896552,52.56742999999999,13.3775699
Tillmannsweg 11,Wannsee(Zehlendorf),2085.9,139.06,4,15.0,52.4261759,13.1842295
Tillmannsweg 11,Wannsee(Zehlendorf),2475.45,165.03,5,14.999999999999998,52.4261759,13.1842295
Berlichingenstraße 18,Tiergarten(Tiergarten),1584.0,126.7,3,12.50197316495659,52.5311337,13.3251139
,Tegel(Reinickendorf),700.0,67.59,2,10.356561621541648,52.5854954,13.2812374
,Kreuzberg(Kreuzberg),2500.0,99.0,3,25.252525252525253,52.4876613,13.3814081
Hochbergplatz 6,Lichterfelde(Steglitz),387.45,37.58,1,10.310005321979776,52.42679,13.31871
Melanchthonstr. 17,Tiergarten(Tiergarten),1103.3,64.9,2,16.999999999999996,52.521251,13.3519461
Ostpreußendamm 158 B,Lichterfelde(Steglitz),325.98,30.38,1,10.730085582620147,52.43134999999999,13.31857
Hochbergplatz 6,Lichterfelde(Steglitz),387.38,37.83,1,10.240021147237643,52.42679,13.31871
Flutstraße 3,Niederschöneweide(Treptow),1155.22,69.91,2,16.52438849949936,52.4559526,13.5139068
Genthiner Str. 4,Tiergarten(Tiergarten),1700.0,80.0,4,21.25,52.5053881,13.3600354
Bahnhofstraße 41,Lichtenrade(Tempelhof),243.25,34.75,1,7.0,52.4569013,13.5776652
Hubertusstr. 7,Rahnsdorf(Köpenick),1580.0,76.94,2,20.53548219391734,52.4597054,13.3260977
Mittelbruchzeile 22,Reinickendorf(Reinickendorf),667.03,51.31,2,12.999999999999998,52.5664421,13.3664452
Heidereuterstraße 18,Spandau(Spandau),744.0,62.0,2,12.0,52.5277143,13.2125607
Goethestrasse 36,Weißensee(Weißensee),1370.0,71.0,2,19.295774647887324,52.4430267,13.2345289
Gabriele-Tergit-Promenade 21,Tiergarten(Tiergarten),1985.0,73.0,3,27.19178082191781,52.5039938,13.3744329
,Kladow(Spandau),882.0,84.0,4,10.5,52.4595308,13.137579
Falkenhagener Straße 31,Spandau(Spandau),620.0,60.5,2,10.24793388429752,52.54757180000001,13.1970764
Thaterstr. 21,Reinickendorf(Reinickendorf),465.56,62.24,2,7.480077120822622,52.56710959999999,13.3594266
Durlacher Str. 11,Wilmersdorf(Wilmersdorf),1803.24,150.27,4,12.0,52.4794443,13.3343765
Uhlandstr. 103A,Wilmersdorf(Wilmersdorf),999.0,54.8,2,18.22992700729927,52.4858287,13.3228818
Bachstraße 4,Tiergarten(Tiergarten),1234.0,56.25,1,21.93777777777778,52.5174196,13.3379391
Afrikanische Str. 4,Wedding(Wedding),780.0,83.93,3,9.293458834743237,52.54685,13.34355
Stendaler Straße 20,Tiergarten(Tiergarten),918.0,46.96,2,19.54855195911414,52.5326312,13.3490029
Im Lindenhof 19,Lichtenberg(Lichtenberg),1214.0,87.0,3,13.954022988505747,52.5182179,13.5084751
Im Lindenhof 5,Lichtenberg(Lichtenberg),1431.0,102.0,3,14.029411764705882,52.51838249999999,13.5074048
Im Lindenhof 1,Lichtenberg(Lichtenberg),1983.0,153.0,5,12.96078431372549,52.51835579999999,13.5072448
Im Lindenhof 1,Lichtenberg(Lichtenberg),1641.0,126.0,4,13.023809523809524,52.51835579999999,13.5072448
Friedrichstraße 121,Mitte(Mitte),1199.0,61.46,2,19.50862349495607,52.526442,13.3868458
Friedenstr. 57,Friedrichshain(Friedrichshain),1230.0,43.0,1,28.6046511627907,52.5196194,13.4385828
Germersheimer Weg 31 d,Spandau(Spandau),759.0,80.77,3,9.397053361396559,52.54433,13.18493
Berliner Straße 39,Wilmersdorf(Wilmersdorf),700.0,50.0,1,14.0,52.48668929999999,13.321167
Wassermannstraße 69,Adlershof(Treptow),926.0,104.27,3,8.880790256065984,52.44032,13.55129
